web-scraper-order,web-scraper-start-url,rank,Youtuber,subscribers,video views,video count,category,started
"1699959846-119","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","119","Zach Morris","2,070,000","504,144,506","889","People & Blogs","2012"
"1699959846-120","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","120","Alda Tuiran - universo de cracks","2,520,000","498,519,147","1,259","Entertainment","2013"
"1699959846-121","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","121","Con Ánimo De Ofender","1,190,000","493,797,521","278","Comedy","2014"
"1699959846-122","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","122","Luis Alfonso","521,000","493,628,069","204","Music","2018"
"1699959846-123","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","123","Jonatan Clay","2,640,000","485,249,459","112","Entertainment","2008"
"1699959846-124","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","124","TitoMan","996,000","480,880,636","38","Entertainment","2011"
"1699959846-125","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","125","Keller Lokomotion","2,030,000","478,032,898","388","Music","2013"
"1699959846-126","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","126","Joaquin Guiller","515,000","467,920,232","129","Music","2016"
"1699959846-127","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","127","Iglesia Mindevint","799,000","465,650,626","122","Music","2008"
"1699959846-128","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","128","Javier Ramirez","4,720,000","463,067,943","196","People & Blogs","2007"
"1699959846-129","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","129","SergioGameplayer","1,360,000","462,349,399","1,764","Gaming","2012"
"1699959846-130","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","130","Claro Colombia","280,000","461,111,833","1,422","Entertainment","2012"
"1699959846-131","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","131","Kim Jenny 100","1,170,000","455,734,024","980","Gaming","2014"
"1699959846-132","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","132","ELDER DAYÁN DÍAZ","682,000","452,375,510","379","Music","2014"
"1699959846-133","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","133","Homecenter Colombia","190,000","445,407,613","2,387","People & Blogs","2008"
"1699959846-134","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","134","Easy Art","2,310,000","441,338,829","1,588","Entertainment","2014"
"1699959846-135","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","135","NTN24","1,290,000","441,331,529","65,739","News & Politics","2010"
"1699959846-136","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","136","Alpina","193,000","437,032,588","1,097","Film & Animation","2009"
"1699959846-137","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","137","OUROBOROSARQ","3,070,000","432,616,344","136","","2017"
"1699959846-138","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","138","Francisco Gómez","723,000","431,980,368","255","Music","2014"
"1699959846-139","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","139","Protagonistas RCN","420,000","431,697,571","1,599","Entertainment","2013"
"1699959846-140","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","140","En las Manos del Maestro","2,430,000","429,591,665","2,353","People & Blogs","2010"
"1699959846-141","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","141","Charly Oficial","982,000","425,817,820","397","Comedy","2016"
"1699959846-142","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","142","Fanny Lu","1,040,000","413,958,379","97","Entertainment","2014"
"1699959846-143","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","143","Falabella Colombia","161,000","408,142,401","4,043","Howto & Style","2011"
"1699959846-144","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","144","Tu Música Hoy","887,000","406,428,556","3,473","People & Blogs","2016"
"1699959846-145","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","145","BrosNacion","2,780,000","406,045,819","291","Entertainment","2016"
"1699959846-146","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","146","Iglesia de Dios Ministerial de Jesucristo Internacional","746,000","405,170,844","2,344","Education","2010"
"1699959846-147","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","147","Su Presencia Worship","797,000","395,370,041","576","Music","2009"
"1699959846-148","https://us.youtubers.me/colombia/all/top-1000-youtube-channels-in-colombia","148","ELpeluca XD","3,920,000","393,605,684","1,635","Gaming","2014"
